Date,usd
2020-08-01,27.5300
2020-08-03,27.6500
2020-08-04,27.6000
2020-08-05,27.4800
2020-08-06,27.5100
2020-08-07,27.4500
2020-08-08,27.4500
2020-08-10,27.4300
2020-08-11,27.4300
2020-08-12,27.3500
2020-08-13,27.2800
2020-08-14,27.2000
2020-08-15,27.2000
2020-08-17,27.1000
2020-08-18,27.2200
2020-08-19,27.3200
2020-08-20,27.3000
2020-08-21,27.3600
2020-08-22,27.3600
2020-08-24,27.3800
2020-08-25,27.3700
2020-08-26,27.3600
2020-08-27,27.4000
2020-08-28,27.4000
2020-08-29,27.4000
2020-09-01,27.4500
2020-09-02,27.5200
2020-09-03,27.5400
2020-09-04,27.5600
2020-09-05,27.5600
2020-09-07,27.6500
2020-09-08,27.6700
2020-09-09,27.7000
2020-09-10,27.7200
2020-09-11,27.7800
2020-09-12,27.7800
2020-09-14,27.8700
2020-09-15,27.9800
2020-09-16,27.9500
2020-09-17,28.0100
2020-09-18,28.0500
2020-09-19,28.0500
2020-09-21,28.1300
2020-09-22,28.1000
2020-09-23,28.1200
2020-09-24,28.1500
2020-09-25,28.1700
2020-09-26,28.1700
2020-09-28,28.1500
2020-09-29,28.2000
2020-09-30,28.2000
2020-10-01,28.2200
2020-10-02,28.2500
2020-10-03,28.2500
2020-10-05,28.3100
2020-10-06,28.2800
2020-10-07,28.2300
2020-10-08,28.1600
2020-10-09,28.1100
2020-10-10,28.1100
2020-10-12,28.1800
2020-10-13,28.2000
2020-10-15,28.2200
2020-10-16,28.2700
2020-10-17,28.2700
2020-10-19,28.2700
2020-10-20,28.2500
2020-10-21,28.1800
2020-10-22,28.2300
2020-10-23,28.2200
2020-10-24,28.2200
2020-10-26,28.2500
2020-10-27,28.2800
2020-10-28,28.3000
2020-10-29,28.3500
2020-10-30,28.3900
